,Word 0,Word 1,Word 2,Word 3,Word 4,Word 5,Word 6,Word 7,Word 8,Word 9,Word 10,Word 11,Word 12,Word 13,Word 14,Word 15,Word 16,Word 17,Word 18,Word 19,Word 20,Word 21,Word 22,Word 23,Word 24,Word 25,Word 26,Word 27,Word 28,Word 29,Word 30,Word 31,Word 32,Word 33,Word 34,Word 35,Word 36,Word 37,Word 38,Word 39,Word 40,Word 41,Word 42,Word 43,Word 44,Word 45,Word 46,Word 47,Word 48,Word 49,Word 50,Word 51,Word 52,Word 53,Word 54,Word 55,Word 56,Word 57,Word 58,Word 59,Word 60,Word 61,Word 62,Word 63,Word 64,Word 65,Word 66,Word 67,Word 68,Word 69,Word 70,Word 71,Word 72,Word 73,Word 74,Word 75,Word 76,Word 77,Word 78,Word 79,Word 80,Word 81,Word 82,Word 83,Word 84,Word 85,Word 86,Word 87,Word 88,Word 89,Word 90,Word 91,Word 92,Word 93,Word 94,Word 95,Word 96,Word 97,Word 98,Word 99
0 Allgemeiner Diskurs der Literaturvermittlung (Institutionalisierung),deutsch,gymnasien,schulen,alt,bildung,gymnasium,lateinisch,unterricht,muttersprache,schule,griechisch,jahr,universitaet,studium,gelehrt,philosophisch,wissenschaftlich,literatur,wissenschaft,rhetorik,geschichte,uebung,philosophie,schrift,herr,juenglingen,reden,jugend,schriftsteller,jung,oeffentlich,cicero,geist,vorzueglich,kunst,studie,sprache,ausbildung,kenntnis,beredtsamkeit,geistig,grieche,gegenstand,ganz,redner,guenther,vortraegen,zeit,ansicht,anstalt,teils,endlich,latein,vortrag,kuenftig,bestimmung,wissen,maenner,kreis,roemer,erhalten,antik,roemisch,verdienen,programm,tiersch,abhandlung,teorie,leute,preussisch,entwicklung,streng,redekunst,gegenwart,gelehrtenschul,juengling,staat,wichtigkeit,philologisch,leisten,leben,aufsatz,methode,berufen,abteilung,bedeutend,woechentlich,pruefung,nicht,lesung,altertums,bemerken,klassiker,bildend,hoeher,vortragen,rhetorisch,deutschen,schulwesen,beruf
1 Methodik,nicht,stellen,ganz,erklaerung,dichter,schiller,wort,bemerkung,stehen,laessen,heissen,ausgabe,anmerkung,gedicht,herr,urteil,wissen,schlus,richtig,leser,sagen,erklaert,nichts,nennen,bemerken,moecht,aeussern,glauben,einleitung,boxberger,schreiben,goethe,erlaeuterung,nemlich,zeile,quelle,ausdruck,verfasser,ansicht,dureh,denken,strophen,kritik,letzt,groessern,sache,ueberfluessig,lesart,weisen,fragen,namentlich,vorliegend,ausfuehrlich,strophe,arbeit,auserdem,bezug,alt,abschneiden,angefuehrt,falsch,verstehen,druckfehler,meyer,gross,erklaer,schrift,mil,erwaehnen,angeben,buchen,entstehung,klopstock,vollstaendig,aenderung,entscheiden,notiz,blossen,beweisen,spaet,zusammenhang,aeusserlich,stueck,zweit,commentar,punct,jahr,fallen,fehler,schliesen,bedenken,form,zeigen,unmoeglich,antwort,em,vergleichen,scheint,herausgeber,satz
2 Unterstufe,wort,kaiser,deutsch,abteilung,alt,heissen,bezeichnen,ludwig,saetzen,sagen,wolf,satz,erzaehlung,form,karl,bedeutung,roland,sacherklaerung,urspruenglich,mensch,sprache,bedeuten,stehen,gewoehnlich,ritter,koenig,namentlich,ausdruck,pferd,graf,hand,jaeger,sexta,schwert,ueblich,fuchs,gliederung,vergl,sinn,einleitung,odysseus,gedichts,krieg,uhland,stil,lat,handbuch,quinta,wendung,erweckung,herkules,katze,heinrich,burg,galgen,schwaben,vortrag,landgraf,dritt,wilhelm,gehoert,friedrich,verbinden,nennen,ueberschrift,gegensatz,messen,zusammensetzung,wortschatz,sprechen,stimmung,herr,beachten,bezeichnung,frankreich,schlacht,eberhard,gewaltig,genannt,menschen,gegenwaertig,sohn,lesebuch,aufgestellt,schlagen,dichterisch,schiller,siegfried,feldmaus,geschichte,fassen,aeltern,knecht,herakles,streit,lesestuecke,riese,welt,schild,zweit
3 Goethes und Lessings Dramen,hermann,tellheim,dorotea,minna,maedchen,vater,gesang,mutter,sohn,apoteker,pfarrer,haus,werner,major,franziska,goethe,charakter,auftreten,handlung,eltern,fraeulein,richter,ring,gespraech,lessing,frueher,wagen,schilderung,weiblich,dichter,freund,vertrieben,prediger,aufzug,humboldt,maedchens,gluecklich,gesaengen,glocke,doroteens,zuegen,deutsch,tasso,neigung,familie,episch,lebhaft,ruhig,stadt,person,orest,zimmer,kaufmann,jungfrau,wachtmeister,barnhelm,unglueck,erfahren,oheim,gemeinde,braeutigam,brunnen,brauen,richtig,wirt,franzoesisch,garten,hauptmann,aeusern,haeuslich,indes,loesung,soldat,ungluecklich,kraeftig,heiter,gemuet,arthur,maennlich,revolution,krieg,hubert,wunsch,schoenst,verwirrung,scenen,woechnerin,finger,prinzessin,eduard,namentlich,traenen,stimmung,fuerstin,liebend,antonio,hausfrau,ernst,birnbaum,eintreten
4 Mittelalterliche Literatur,sin,koenig,sprechen,min,walther,en,heinrich,sohn,ei,eduard,jung,nu,warwick,kehrreim,singen,stark,minnen,ritter,kaiser,herr,sol,bieten,richard,wunder,landen,ne,degen,helmbrechen,recken,gerne,grimuald,gen,kunde,wolfdichtrich,gast,vogelweide,margarethe,manege,koenigs,michel,loben,clifford,sagen,wenden,gloster,aer,pertari,danne,sterben,konrad,blind,weib,komen,heldenbuch,edeln,albuin,heim,helfen,papst,tor,herzog,weiden,leser,heimlich,schoene,schaar,sesuald,bruder,gewalt,te,ba,naech,schaden,gewis,warten,tundra,swert,koenigin,benevent,wolde,saben,edward,vol,kuenee,schulmann,siner,strit,besingen,ka,frowen,lauten,kuenegen,schwester,began,clarencen,beispiel,spiel,gotelind,london,berhtunc
5 Oberstufe,nicht,deutsch,schueler,unterricht,lectuere,lehrer,ganz,schule,literatur,schuelern,stellen,behandlung,verstaendni,fragen,stoff,aufgabe,zeit,aufsatz,weisen,natuerlich,art,wesentlich,richtig,klasse,zeigen,stufe,leben,besprechung,bieten,gedicht,stunde,interesse,gesichtspunkt,bilden,stehen,behandeln,sache,klassisch,nichts,historisch,arbeit,namentlich,wissen,lernen,aufsaetzen,zweck,aufgeben,sagen,entwicklung,literaturgeschichte,fuehren,hoeher,geeignet,prima,gymnasium,gewis,wert,moecht,hand,geschichte,kenntnis,alt,gewinnen,grund,gebieten,letzt,tertia,zweit,sprache,zusammenhang,auswahl,methode,schrift,eingehend,eroerterung,urteil,suchen,material,punkt,stilistisch,dichtung,betrachtung,erscheinen,schwierigkeit,erreichen,formal,selbstaendig,wissenschaftlich,schwer,sprachlich,bedeutung,forderung,griechisch,denken,standpunkt,sekunda,practisch,geistig,empfehlen,moeglichsen
6 Schiller Drama,schiller,maria,dichter,dramatisch,handlung,elisaben,drama,don,gesler,dramas,messina,brauen,caesar,wilhelm,schicksal,freiheit,tragoedie,scene,historisch,zuschauer,koenigin,eignen,antik,beatrice,person,jsabella,kaiser,manuel,leidenschaft,brueder,schweizer,alt,rudenz,stauffach,betreffen,ritter,soehnen,schuld,zeigen,herrschaft,england,stuart,fuersten,tatsache,grund,tells,befreiung,fuerstin,mortimer,stuecks,trauerspiel,mutter,jungfrau,leicest,situation,erkennen,fischer,ganz,gewalt,walten,tragisch,gerechtigkeit,fuerst,unterredung,charakter,strafe,vielmehr,geschichte,willen,maechtig,hinrichtung,schweiz,buehnen,burleigh,bertha,romantisch,kampf,scenen,teater,weib,frevel,furcht,geschichtlich,aufzug,glauben,actes,oesterreich,gatte,attinghausen,stauffacher,melchthal,individuum,versoehnung,parricida,absicht,stuecken,gefolge,gotthei,individuell,handeln
7 Lyrik Drama Handlung (Religion Weltmodell),nicht,ganz,leben,zeit,stehen,gott,weisen,wort,herr,sprechen,lieben,nichts,freund,stellen,mensch,tag,hand,jahr,glauben,zeigen,sagen,welt,suchen,reichen,fragen,erkennen,folgen,reich,lange,stolz,vater,sinn,wesen,gluecklich,kraft,mutter,grund,denken,brechen,erhalten,heilig,haus,fallen,art,spaet,fuersten,glueck,fehlen,nennen,wert,gethan,lang,vergessen,kennen,verlieren,stunde,stadt,sorgen,ernst,lieber,dienst,schlagen,reisen,hart,gewinnen,feind,selten,schliesen,geschehen,hoeher,keiner,bieten,treffen,spielen,reden,frieden,geist,feinden,heissen,gefahr,fromm,dienen,trotz,stark,bilden,hoert,fahren,meister,haend,pflegen,person,damessen,wissen,kaiser,krieg,stellung,vernehmen,schaffen,blut,sterben
8 Lesebücher,nicht,lesebuch,verfasser,stuecken,gedicht,sammlung,auswahl,literatur,zweit,ganz,poesie,inhalt,auflage,herausgeber,deutsch,geschichte,erzaehlung,poetisch,darstellung,jugend,prosa,stoff,abschnitt,lesebuecher,proben,vorliegend,schulen,prosaisch,erscheinen,abschneiden,abteilung,bieten,enthael,namentlich,goethe,dichter,herr,dritt,schiller,fehlen,bedeutend,enthalten,lesebuchen,jahr,buchen,lesestuecken,dichten,hebel,fabeln,aufnehmen,buecher,schriftsteller,empfehlen,hoeher,lesebuechern,verschieden,teils,einleitung,stueck,herder,behandeln,vorreden,form,verdienen,aufnahme,wert,periode,anordnung,geeignet,bemerkung,schrift,titel,lesebuche,literaturgeschichte,ruecksichen,lyrisch,zweck,bestimmen,ansichten,ausfuehrlich,dichtung,didaktisch,gedichte,art,bild,grimm,uhland,ansicht,dienen,mittler,ausgabe,wackernagel,beispiel,zweckmaessig,raum,moecht,frueher,leitfaden,beziehung,lehrbuch
9 Kanon Poetologie,goethe,schiller,lessing,dichter,drama,deutsch,handlung,dichtung,klopstock,tragoedie,shakespeare,rhetorisch,homer,egmont,charakteristik,laokoon,aufsatz,charakter,tasso,wallenstein,aristoteles,antik,dramas,dramatisch,literarisch,stueck,poesie,iphigenien,goetz,lesebuch,hermann,jahr,herder,literatur,schillersch,dramaturgi,tragisch,bedeutung,nathan,lateinisch,dorotea,aesthetisch,inhalt,stuecken,franzoesisch,abhandlung,caesar,semester,kunst,entwicklung,gedicht,geschichte,nibelungenlied,erklaerung,historisch,homerisch,einheit,griechisch,sache,goethisch,kritisch,poetik,koenig,nennen,held,heissen,horaz,prima,obersekunda,dichterisch,scene,sophokle,person,lehren,aufgeben,minna,klassiker,jahrhundert,iphigenie,emilia,abschnitt,gebildet,jungfrau,programm,vergleichen,luther,galotti,idee,stueckes,poetisch,schuld,verhaeltni,vergleichung,gedankengang,classisch,gruend,inwiefern,stuart,fabel,gesetz
