,Word 0,Word 1,Word 2,Word 3,Word 4,Word 5,Word 6,Word 7,Word 8,Word 9,Word 10,Word 11,Word 12,Word 13,Word 14,Word 15,Word 16,Word 17,Word 18,Word 19,Word 20,Word 21,Word 22,Word 23,Word 24,Word 25,Word 26,Word 27,Word 28,Word 29,Word 30,Word 31,Word 32,Word 33,Word 34,Word 35,Word 36,Word 37,Word 38,Word 39,Word 40,Word 41,Word 42,Word 43,Word 44,Word 45,Word 46,Word 47,Word 48,Word 49,Word 50,Word 51,Word 52,Word 53,Word 54,Word 55,Word 56,Word 57,Word 58,Word 59,Word 60,Word 61,Word 62,Word 63,Word 64,Word 65,Word 66,Word 67,Word 68,Word 69,Word 70,Word 71,Word 72,Word 73,Word 74,Word 75,Word 76,Word 77,Word 78,Word 79,Word 80,Word 81,Word 82,Word 83,Word 84,Word 85,Word 86,Word 87,Word 88,Word 89,Word 90,Word 91,Word 92,Word 93,Word 94,Word 95,Word 96,Word 97,Word 98,Word 99
0 Allgemeiner Diskurs der Literaturvermittlung (Verordnungen Verfächerung),unterricht,schüler,nicht,sprache,deutsch,gymnasium,bildung,lehrer,schule,grammatisch,muttersprache,sprechen,wissenschaftlich,grammatik,methode,geistig,literatur,schulen,lateinisch,übung,classe,fremd,geschichte,griechisch,gegenstand,philosophisch,stunde,alt,schrift,realschule,studium,wissenschaft,stufe,zeit,geist,verschieden,mündlich,anstalt,lernen,praktisch,lehren,zweck,entwickelung,leben,klassisch,aufgabe,schriftlich,lektüre,stoff,sprachunterricht,namentlich,behandlung,stehen,fertigkeit,bürgerschule,zusammenhang,gebrauch,notwendig,logisch,überhaupt,gründlich,ausbildung,wesentlich,übrig,mathematik,philosophie,system,vortrag,angemessen,unterrichten,beschäftigung,vortragen,historisch,wissen,gewinnen,grundlage,früh,universität,erreichen,volksschule,bestimmung,forderung,systematisch,bilden,regeln,beschränken,ganz,kreis,mittel,rücksicht,beziehung,verfahren,ordnung,betreiben,vorbereitung,sache,vorzüglich,verbindung,sprachen,jahr
1 Allgemeiner Diskurs der Literaturvermittlung,sprache,natur,gelehrt,teutsch,seele,studium,wort,lernen,begreifen,sprechen,muttersprache,sprachstudium,richtig,geist,wissenschaft,jahr,geschichte,gegenstand,schulen,mensch,kö,übung,art,gen,ausdruck,schö,lateinisch,vorzüglich,kunst,dieß,regeln,regel,fü,nützlich,kenntnis,ver,griechisch,geschmack,ausdrücken,erfahrung,verstand,sprachlehre,verstehen,folgen,einfluß,verschieden,fremd,schriftsteller,menschlich,ne,erlernung,geschäft,grieche,fehler,gewalt,umgang,gesellschaft,rücksicht,gedanke,nation,moralisch,gebrauch,eignen,empfindung,mö,fleiß,kopf,gelehrsamkeit,körper,kömmen,grad,wahr,gehö,bedeutung,wörter,practisch,übrig,gelehrtenschul,sinnlich,angenehm,schreiben,gehörig,unentbehrlich,ieder,richtigkeit,erkenntniß,leute,kenntniß,redekunst,schreibart,papier,vater,qüllen,sowol,gattung,sprachen,lä,gedächtniß,vernunft,theils
2 Literaturvermittlung (Oberstufe),schüler,deutsch,unterricht,lektüre,aufsatz,nicht,lehrer,thema,verständnis,klasse,behandlung,aufgabe,aufgeben,stoff,art,stufe,ganz,wesentlich,besprechung,inhalt,fragen,arbeit,stellen,richtig,gesichtspunkt,historisch,zweit,gedicht,weisen,bedeutung,bieten,bilden,zweck,geschichte,form,verhältnis,interesse,tertia,auffassung,disposition,prima,darstellung,kenntnis,gewinnen,urteil,erörterung,letzt,zeigen,überhaupt,behandeln,zusammenhang,eingehend,zeit,entwickelung,schwierigkeit,charakter,schule,erklärung,teils,gegenüber,verschieden,geeignet,natürlich,gegenstand,übung,übrig,führen,literatur,treten,praktisch,stilistisch,stunde,gewiß,formal,einleitung,ästhetisch,anschauung,klassisch,erreichen,wert,verfahren,namentlich,gieben,erscheinen,gedanke,gymnasium,handlung,notwendig,ausführung,häufig,begreifen,betrachtung,logisch,selbständig,praxis,charakteristikum,stil,methode,satz,anschaulich
3 Kanon Poetologie,schiller,dichter,lessing,göthe,dichtung,deutsch,poesie,klopstock,göthes,literatur,drama,gedicht,zeit,shakespeare,herder,kunst,charakter,poetisch,dramatisch,tragödie,homer,jahrhundert,klassisch,laokoon,dichterisch,dorothea,schule,götz,entwickelung,lyrisch,groß,egmont,französisch,charakteristikum,dramaturgie,dichten,nibelungenlied,periode,nathan,hermann,abhandlung,jahr,kritisch,könig,kritik,wieland,tasso,lyrik,iphigenien,sprache,ästhetisch,literaturgeschichte,messias,schillersch,horaz,romantisch,luther,litterarisch,göthesch,behandlung,walther,klassiker,bedeutend,nennen,bedeutung,antik,vergleichen,sittlich,tragisch,dichtkunst,held,schlegel,uhland,rückert,stellen,vergleichung,homerisch,bemerkung,brauen,zweit,fabel,wilhelm,bild,philosophisch,episch,übersetzung,stück,geschichte,friedrich,sachs,stehen,leben,opitz,gieben,vergil,inwiefern,roman,poetik,erläuterung,verdienst
4 Goethes und Lessings Dramen,hermann,iphigenien,tasso,tellheim,handlung,minna,dorothea,vater,mädchen,mutter,antonio,sohn,haus,dichter,charakter,prinzessin,göthe,gesang,drama,orestes,pylades,apotheker,auftreten,freund,pfarrer,franziska,major,werner,person,dichtung,orest,gespräch,aufzug,eltern,stück,lieben,früh,fräulein,glück,weiblich,richter,erfahren,neigung,lessing,ring,scene,stadt,leonore,fremd,bild,glücklich,priesterin,erscheinen,göttin,schwester,deutsch,herzog,schön,folgen,verhältnis,jungfrau,unglück,iphigenie,wagen,letzt,unglücklich,wunsch,tochter,zurück,familie,vertrieben,während,treten,leidenschaftlich,rettung,erzählung,ruhig,zimmer,dorotheens,erzählen,emilia,reichen,prediger,wirth,entschluß,äußern,zweit,geliebt,fühlen,glocke,schicksal,ernst,weib,humboldt,würdig,rasch,episch,ergreifen,betrachtung,göthes
5 Lyrik (Ästhetik),dichter,gedicht,schön,strophe,ganz,bild,natur,göthe,auge,nicht,leben,stellen,gesang,himmel,welt,freude,singen,form,schließen,alt,ruhen,lieben,letzt,schluß,treten,stehen,sonne,dunkel,stimmen,stimmung,kunst,licht,blick,schiller,ausdruck,brust,zeile,lang,gedanke,herrlich,seele,empfindung,ach,frisch,erde,meer,leise,kräftig,schilderung,gefühl,schönheit,bilden,gestalt,endlich,schmerz,süß,tag,grün,denken,führen,mädchen,ruhig,sinn,anfang,zweit,sitzen,spät,haupt,schildern,glanz,beginnen,erscheinen,schauen,stark,folgen,lust,blicken,stern,fühlen,sanft,klingen,wirkung,strahlen,freundlich,äußern,blume,dichten,zeit,fluß,sehnsucht,namentlich,wenden,lange,kehren,früh,abend,zeigen,bewegung,zurück,fülle
6 Handlung,nicht,ganz,wort,groß,nichts,alt,wissen,stehen,stellen,zeit,sagen,sprechen,mögen,fragen,weisen,gewiß,denken,art,dichter,verstehen,suchen,glauben,sache,schön,leben,sinn,grund,wahr,zeigen,überhaupt,gedanke,jung,möchten,hand,kennen,nennen,gehören,jugend,lange,schreiben,auge,fallen,nämlich,herr,reden,schwer,richtig,erklären,lieben,lernen,wahrheit,führen,lehren,ähnlich,hören,natürlich,lang,geschehen,treiben,geist,bilden,würde,tag,wert,letzt,stück,leser,zürst,gewöhnlich,jahr,wäre,zweck,kraft,verlangen,erscheinen,vielmehr,ausdruck,fehlen,endlich,keiner,beispiel,freund,fassen,welt,erkennen,stark,dafür,gründen,wünschen,helfen,beweisen,schlecht,deutlich,mittel,meinung,absicht,versuchen,falsch,meister,selten
7 Interdiskurs (Pädagogik Religion Staat Ästhetik),mensch,leben,bildung,jugend,schön,wahrheit,natur,sittlich,erziehung,religion,kunst,geist,wahr,kraft,ästhetisch,freiheit,christentum,welt,christlich,menschheit,zögling,geschichte,staat,idee,geistig,wert,schule,tugend,pädagogisch,gesetz,gefühl,zeit,nation,lehrer,gesinnung,kultur,moralisch,wirken,menschen,volk,lessing,grundsatz,wissenschaft,pädagogik,modern,ideal,charakter,gieben,jüngling,erzieher,vernunft,menschlich,streben,gebildet,sitte,entwickelung,familie,öffentlich,erkenntniß,christ,bilden,entwickeln,wissen,lebens,erziehen,lernen,wesen,wahrhaft,gesellschaft,jugendlich,eltern,interesse,groß,heilig,geschmack,äußern,moral,erfahrung,sittlichkeit,schulen,humanität,schönheit,ausbildung,größe,klassisch,einheit,einfluß,willen,lehren,frucht,talent,bürgerlich,gemüth,bild,standpunkt,positiv,mittel,fühlen,beruf,entwicklung
8 Lyrik (Deklamation),wort,satz,strophe,sprechen,nicht,zweit,silbe,bezeichnen,stimmen,stehen,betonung,sänger,hebung,hand,betonen,aussprechen,metrik,rhythmus,lang,zeile,buchstabe,richtig,bewegung,senkung,letzt,pause,regel,stark,dritt,folgen,nebensatz,enthalten,reimen,bilden,unterschied,hauptsatz,grammatisch,fallen,fuß,nennen,beispiel,schluß,inhalt,verschieden,zeichen,art,ausdruck,bemerkung,ganz,tonwort,schließen,ausdrücken,vocal,rhythmisch,komma,vortrag,accent,endung,declamator,periode,auge,bemerken,vollständig,treten,nachsatz,tonlos,lesevortrag,bedeutung,prädicat,grund,lehrer,antik,sache,geschehen,hervorheben,übrig,viert,tempo,häufig,metrisch,nämlich,zweisilbig,form,substantiv,musikalisch,einsilbig,stumpf,punkt,prädikat,zeitwort,zusammengesetzt,leseunterricht,subjekt,während,gehören,gegensatz,erhalten,wörter,leitf,satzton
9 Jugendliteratur,jahr,jugendliteratur,jugend,alt,voß,jugendschrift,schulen,campen,bibliothek,schrift,jugendlektüre,lektüre,gymnasium,jung,zeit,kinderreim,berlin,preufsisch,gedik,jahrhundert,kinderfreund,rector,friedrich,salzmann,geschichte,basedow,leipzig,universität,eltern,pädagogisch,unterhaltung,halle,giesebrechen,schulmann,kinderbuch,robinson,schriften,öffentlich,schulbibliothek,roman,kinder,kinderschrift,gelehrt,la,welt,niemeyer,meierotto,grimuald,programm,knabe,thomasiu,königlich,vergl,göttingen,reimen,richter,versuchen,schulwesen,reden,schreiben,bearbeitung,badisch,erwachsene,miller,meyer,jugendschriften,zögling,johann,lateinisch,simrock,pertari,tagen,gelehrten,gelesen,erhalten,kloster,april,jahrh,blatt,halberstadt,verstorben,albuin,brunn,rousseau,bücher,vorlesung,minister,häuslich,christian,les,qüllen,rochow,gellern,gelten,gymnasio,schule,sesuald,october,schenken,biblisch
10 Mittelalterliche Literatur (Handlung) ,könig,sohn,herr,ritter,kaiser,vater,gott,sagen,bruder,treten,spät,ludwig,reich,schließen,jung,königs,graf,erzählung,deutsch,heinrich,person,zeit,haus,fürst,sprechen,zweit,geschichte,weisen,heilig,burg,erzählen,hand,früh,sitzen,groß,knecht,fallen,lang,kirche,stehen,schlagen,schön,feinden,verschieden,tag,landen,gefangen,dritt,führen,leben,stadt,zurück,gast,stolz,jahr,hart,volk,diener,bauer,streit,suchen,überschrift,krieg,flucht,sterben,stark,gewinnen,gieben,greifen,bitten,mutter,leute,ehren,reichen,blut,friedrich,rache,erfahren,brechen,spielen,zorn,mitte,sachsen,feind,dienen,dienst,befehlen,lieb,reisen,lange,haupt,christ,befehl,stoff,empfangen,gebot,erkennen,scheiden,schwert,heimlich
11 Handlung (Robinson),groß,gott,robinson,zeit,leben,herr,mensch,endlich,reichen,en,tag,arbeit,jahr,lange,fahren,winter,reichtum,baum,familie,freude,heimath,während,haus,erde,leiden,armuth,alt,schiff,angenehm,vater,menge,reich,freitag,gegend,wasser,suchen,vergnügen,freund,täglich,früh,weisen,verlassen,leute,insel,krankheit,mutter,befinden,wohnung,dankbar,pflug,benutzen,eltern,sorgen,besitzen,sonne,dienen,bereiten,gesundheit,feuer,ei,lernen,gefahr,lang,freundlich,selten,sturm,erkennen,jung,pflegen,segen,schwert,hafen,felsen,schal,zöllner,schützen,geduld,speisen,freuen,greis,wachsen,hand,mi,ziege,bergen,boden,zufrieden,fleisch,reisen,spät,wohnen,nächst,reichlich,erreichen,boot,ne,menschen,laufen,genießen,gelegenheit
